,x,y
0,-40.0,-60.0
1,-39.39574271059034,-59.86067928575137
2,-38.792710946508066,-59.718158844620085
3,-38.1885195771475,-59.57710173151813
4,-37.582466711616775,-59.438687290081845
5,-36.9778785737886,-59.296046187904615
6,-36.375174726318676,-59.148414784013674
7,-35.771927412460336,-59.000462769591486
8,-35.170943175498216,-58.84658120802022
9,-34.57439068610135,-58.683000965247196
10,-33.97820613852842,-58.517491956474245
11,-33.37945398115857,-58.354921176267965
12,-32.78241513097423,-58.18631309203099
13,-32.19187312840352,-58.002692382701625
14,-31.604294651409155,-57.81028890348852
15,-31.021404468034294,-57.60097703385773
16,-30.403786377912503,-57.55265538907704
17,-29.78780349615074,-57.498449221172706
18,-29.17215474500816,-57.44242643497438
19,-28.557316650706554,-57.38322497917537
20,-27.938460272557368,-57.334867549547475
21,-27.321925222030984,-57.27774866488227
22,-26.706593800314145,-57.21567426040137
23,-26.09062922705413,-57.15389044469794
24,-25.475447285083323,-57.08794790359459
25,-24.862227550463317,-57.01460869736042
26,-24.248744317588155,-56.94009355418629
27,-23.63630169048682,-56.86003942686236
28,-23.023631835307977,-56.77672326540011
29,-22.410822619754956,-56.683697637424544
30,-21.8417751538234,-56.44264986686587
31,-21.272362770702173,-56.20174305488524
32,-20.697927981124252,-55.967196423177185
33,-20.129566326868808,-55.72377347077404
34,-19.562655070244215,-55.47797660959958
35,-18.990581947325214,-55.23854604193526
36,-18.422560429059686,-54.99284770000115
37,-17.8500015146541,-54.752390828291894
38,-17.27738018462686,-54.51067293907711
39,-16.709495110075366,-54.26105316248955
40,-16.148033506597894,-54.00170256192929
41,-15.586954280556855,-53.74061841301164
42,-15.029286584928649,-53.47356474287436
43,-14.473967675542044,-53.20150768048036
44,-13.922383693953677,-52.92122230962295
45,-13.434660536806556,-52.5360208155149
46,-12.956870142168881,-52.14285416579884
47,-12.475763309618355,-51.7518892579437
48,-12.000581947276235,-51.35615569241573
49,-11.525295751217389,-50.96022307680731
50,-11.043628204806865,-50.568705658116784
51,-10.561355548180813,-50.17710284897697
52,-10.08788223391927,-49.77837371408872
53,-9.620290174008375,-49.3750061285874
54,-9.142042771369983,-48.97900980384506
55,-8.663534280943129,-48.582404676998
56,-8.196560567590844,-48.176533888835785
57,-7.727611602887444,-47.77141386462298
58,-7.260713840171515,-47.36391559725031
59,-6.791498762815937,-46.95690909265084
60,-6.328029242546346,-46.544091145373436
61,-5.866792730642098,-46.127522847141385
62,-5.424314417503951,-45.695076996547854
63,-4.984695438855643,-45.256640397123846
64,-4.473577632171639,-44.90541051921091
65,-3.9621035349359737,-44.554085811010545
66,-3.452091973598557,-44.20100531785978
67,-2.9479083884993846,-43.84239511504328
